pmcid,revised_verdict,source,gene_count_reported,evidence
PMC12585065,unreviewed_no_flag,none,,"univariate Cox screening table (41 anoikis-related DEGs), pre-selection stage not final LASSO model"
PMC12382188,likely_hit(regex),regex_scan,,"Risk Score = 0.358×LITAF + 0.268×OSMR + (-0.274) ×TCF12. Z-score normalization stratified patients into high-/low-risk groups. The model demonstrated robust predictive capacity in TCGA (1-year AUC = 0.74, 3-year AUC = 0.71) and CGGA_693 cohorts (1-ye"
PMC11409092,likely_hit(regex),regex_scan,,"Riskscore= (9.97 × TAP1 expression level) + (6.35 × APOE expression level) + (−15.05 × CFTR expression level) + (−5.55 × MMP9 expression level). In addition, through Statistical Package for the Social Sciences (SPSS) software, no multicollinearity wa"
PMC10873882,hit,second_coder_manual,6,单因素Cox筛得49个lncRNAs，随后LASSO确定最终6-lncRNA ，表格2，有公式验证
PMC9679378,likely_hit(regex),regex_scan,,risk score = 0.0521608 × ERBB2 expression +0.20999961 × RB1 expression + (−0.0850947) × CCR7 expression + (−0.1610273) × CD38 expression + (−0.2437315) × IFNB1 expression +0.09886907 × ANXA2 expression + (−0.0133657) × CXCL9 expression +0.22922048 × 
PMC9641162,likely_hit(regex),regex_scan,,"Risk score=(0.0162)×NT5E+(0.0675)×ATG5+(0.0221)×PIK3CA+(0.0352)×IL1R1+(−0.0118)×IL1B+(0.2049)×HSP90AA1+(0.0342)×EIF2AK3+(−0.2703)×MYD88+(0.5396)×IL10+(−0.0987)×CD8A+(−0.1254)×IFNG,  Risk score = sum of coefficients × gene expression level. The coeffi"
PMC9449120,unreviewed_no_flag,none,,"univariate Cox screening table (201 genes), pre-selection stage not final multivariate model"
PMC13419606,likely_hit(regex),regex_scan,,"Risk Score=−0.320×KRT27+0.159×KRT80+0.238×KRT16+0.120×KRT81. Using this model, the present study calculated a risk score for each patient and classified them into high- and low-risk groups at the median. Kaplan-Meier analysis confirmed that high-risk"
PMC13408425,unreviewed_no_flag,none,,"gene-drug association table (IDWAS drug-sensitivity biomarkers), not a prognostic Cox/LASSO model"
PMC13362542,likely_hit(regex),regex_scan,,Risk Score = (1.963 ×ARC) + (1.590 ×ASCL1) + (7.176 ×CCT5)+ (3.979 ×CENPN) + (−2.202 ×CITED2) + (6.146 ×CSRP2)+ (−8.601 ×HIST1H4C) + (4.027 ×HMGCS1) + (−5.369 ×ITGB3BP)+ (−6.068 ×MIAT) + (−1.980 ×PKIB) + (−6.057 ×POLE4)+ −3.448 ×STAT3 + −9.166 ×TUBA1
PMC13265210,unreviewed_no_flag,none,,"names a 4-gene core signature (TOP2A/PLK1/CDKN3/CCNB1) built via ensemble ML (StepCox + random survival forest), but no per-gene coefficient table found in text or supplement -- RSF-based models do not produce simple linear weights"
PMC13141311,miss,second_coder_manual,17？,未发现完整列出17个最终基因各自模型coefficient/weight/HR的表格或展开公式，附件也没有相关数据
PMC13046747,unreviewed_no_flag,none,,"GeneCards demethylation-related candidate gene database, pre-selection stage not final model"
PMC12366518,miss,second_coder_manual,？,LASSO、SVM-RFE及RF取交集最终确定18个ARG基因，无具体系数，无表格，无公式验证，全文及补充材料均未说明
PMC12254108,unreviewed_no_flag,none,,"PANoptosis candidate gene list (363 genes) + clustering-algorithm performance metrics, neither is the final coefficient table"
PMC12213708,uncertain,second_coder_manual,3？,7个候选预后基因经多因素Cox回归构建最终3基因模型CLEC11A、BDP1、ID3，只有hr值，但无公式验证
PMC11868076,likely_hit(regex),regex_scan,,risk score=(0.175×SFN expression)+(0.238×CSNK2A1 expression)+(-0.266×RHOB expression)+(0.436×TUBB3 expression +(0.165×SCRIB expression)+ (0.290×SNAI1 expression)+(0.137×CDX2 expression)+(-0.126×SLPI expression). We divided the data into training and 
PMC11807950,likely_hit(regex),regex_scan,,risk score = PRKN * (− 0.41964285) + PINK1 * (− 0.101309168) + FUNDC1 * (0.070540366) + VDAC1 * (0.454881768) + SQSTM1 * (0.355397067) + PGAM5 * (0.41172356) + MAP1LC3A * (0.248554207) + ATG13 * (− 0.242276733) + TOMM20 * (− 0.767352851) + VPS13C * (
PMC11799156,unreviewed_no_flag,none,,"clinical characteristics table + anoikis candidate gene database (GeneCards), not final model"
PMC11576184,uncertain,second_coder_manual,6/3？,只有笼统的公式，没有具体的表格和公式写明风险评分
PMC11219856,likely_hit(regex),regex_scan,,Risk score = (0.1318 × expression level of TRIM28) + (0.0114 × expression level of PPIA) + (0.3025 × expression level of SOD1) + (0.0247 × expression level of RRP1B) + (0.3596 × expression level of IARS2) + (− 0.0960 × expression level of RB1) + (0.0
PMC11137026,unreviewed_no_flag,none,,"endoplasmic-reticulum-stress candidate gene list, pre-selection stage not final model"
PMC10985269,likely_hit(regex),regex_scan,,Risk score = (0.0880 × expression level of ALDOA) + (0.0108 × expression level of DDX39A) + (0.0199 × expression level of H2AX) + (0.2848 × expression level of KIF2C) + (0.0181× expression level of RACGAP1). Univariate and multivariate Cox regression
PMC10851502,unreviewed_no_flag,none,,"MSigDB DDR candidate gene database + DEG list; caption also references a 'Table 3: 109 DDR-related lncRNAs with prognostic value' but that table was not captured in the downloaded package, and its description (109 genes with prognostic value) suggests a pre-LASSO screening list rather than the final model regardless; no risk-score formula found in main text"
PMC10620278,likely_hit(regex),regex_scan,,Risk score = 0.240632 × TGFB1 expression + 0.390215 × JSRP1 expression + 0.311506 × HMOX1 expression + 0.645877 × GAPDH expression + 0.406487 × CHRNE expression + 0.231012 × CAV1 expression − 0.41471 × CD74 expression − 0.20355 × ERN2 expression. ERS
PMC10590872,likely_hit(regex),regex_scan,,"risk score=AC019069.1×0.242+AC092969.1×0.324+LEF1−AS1×−0.160+SCARNA×−0.275+FAM181A−AS1×−0.207+AC023300.2×−0.018+LCMT1−AS2×0.463+AC130371.2×−0.019+TRPM2−AS×−0.036  Subsequently, the UCEC samples were divided into low- and high-risk groups based on the"
PMC10472577,unreviewed_no_flag,none,,"univariate Cox table of gene-SET/pathway scores (not individual genes), does not match the per-gene coefficient template"
PMC10174396,unreviewed_no_flag,none,,"univariate Cox screening table of A-to-I RNA-editing loci (bladder cancer), pre-selection stage not final model"
PMC12170119,unreviewed_no_flag,none,,risk score作为临床协变量
PMC12215040,likely_hit(regex),regex_scan,,risk score=expression level of ATG9B×0.1167+expression level of HSPA5×0.4158+expression level of ITGA3×0.1545+expression level of RAC1×0.6658. The prognostic risk score for each patient treated with TMZ and RT was calculated in the TCGA training set.
PMC13414059,hit,second_coder_manual,16,1248个LMRG经单因素Cox筛得19个候选基因，随后LASSO最终确定16基因OSCC预后模型，有公式
PMC13526731,unreviewed_no_flag,none,,risk score作为临床协变量
PMC9170944,likely_hit(regex),regex_scan,,Risk score = (–0.124 × AC103760.1 expression) + (–0.113 × AC015908.3 expression) + (–0.027 × LINC02362 expression) + (–0.021 × LINC02499 expression) + (–0.009 × F11.AS1 expression) + (0.02 × LINC00942 expression) + (0.03 × PRRT3.AS1 expression) + (0.
PMC9853015,likely_hit(regex),regex_scan,,Risk score=CXCR7×−0.0881067640076111+HS3ST1×0.0892716591390481+MMP25×0.0138121800572637+MRVI1×0.0353958603331637+TM4SF1×0.0585011127027571+TPST1×0.0853951015444165  FIGURE 6 Generation of a prognostic model for patients with IPF. (A) The Venn diagram
PMC10911888,likely_hit(regex),regex_scan,,"RiskScore = 0.122 × SCD3 + 0.145 × MATN3 + 0.120 × SERPINE1 + 0.034 × P3H2 + 0.061 × MMP16 + 0.059 × VTN. Through rigorous validation and multivariate Cox analysis, this model emerged as an autonomous risk determinant for AGC (Table 2). The X-Tile so"
PMC11666862,likely_hit(regex),regex_scan,,Risk Score = (0.75153351 * AL512330.1) + (0.2607126 * SENCR) + (0.77427193 * LINC02710) + (1.6991026 * AL022328.1)  –  (0.5412946 * AC090559.1) – (1.002949 * AC091271.1).  The median risk score of these 63 samples was calculated to be 0.5806584. Thos
PMC12273967,hit,second_coder_manual,7,LASSO构建最终7基因COAD预后模型，有具体系数和公式验证
PMC12361035,hit,second_coder_manual,9,LASSO-Cox最终确定9基因iCCA糖酵解相关预后模型，有具体系数和公式验证
PMC13410346,miss,second_coder_manual,12？,未找到具体的数据和公式验证，附件中也没有
PMC8654911,hit,second_coder_manual,7,多因素Cox最终建立7-lncRNA，有具体数据
PMC11349728,likely_hit(regex),regex_scan,,Risk score = (− 0.396380687286232 × expression of ACSF2) + (− 0.31558848815585 × expression of CHKA) + (1.10759889885893 × expression of CYP46A1) + (− 0.181897730158734 × expression of DBI) + (1.2285520219403 × expression of ENPP7) + (− 0.52292225271
PMC11781745,likely_hit(regex),regex_scan,,Risk score = 0.134740737082723 * MAGEA12 + 0.327294645435294 * C12orf56–0.290542928969321 * ASRGL1–0.188227916852889 * EREG—0.178355841003148 * RORC—0.160071259389688 * MMP10 + 0.112345147800628 * INHBB. Using the median risk score of patients in the
PMC11880812,hit,second_coder_manual,10,最终建立10基因糖酵解相关乳腺癌预后模型，有公式验证
PMC11906445,unreviewed_no_flag,none,,KEGG通路候选基因集
PMC12408283,likely_hit(regex),regex_scan,,risk score = (0.11836 * BAX) + (0.06145 * TREM2) + (0.49257 * CHMP4B) + (−0.24100 * CHMP3) + (−0.07721 * GBP1) + (−0.22166 * IRF1) + (−0.62887 * CHMP2A) + (−0.07688 * MST1).  Figure 7 Development and confirmation of the predictive model. (A) LASSO an
PMC12627312,likely_hit(regex),regex_scan,,"Risk score = (0.243 × MAP1B) + (0.254 × PYCR1) + (-0.217 × HSD3B1) + (0.148 × KLK6) + (0.260 × AKR1B15) + (-0.301 × TAT). Applying the median risk score as a cutoff, TCGA-BLCA patients were stratified into distinct high- and low-risk groups. K-M anal"
PMC13050664,likely_hit(regex),regex_scan,,"Riskscore = -0.066 × CLIC6 + 0.176 × ANLN + 0.12 × FAM83A + 0.113 × RHOV (Figure 3C). This study classified LUAD patients into low-risk and high-risk groups based on Riskscore, and the ROC curve confirmed the reliability of the model in predicting 1-"
PMC13200625,hit,second_coder_manual,4,经LASSO及多因素Cox建立最终4基因AML预后模型，有具体数据和公式验证
PMC13433831,unreviewed_no_flag,none,,"WGCNA共表达模块基因(6003个),候选池"
PMC8648947,likely_hit(regex),regex_scan,,"Risk score = (BAALC-AS1 *0.023) − (MIR324 *0.01) − (MIR191 *0.01) − (MIR25 *0.001) − (AC023509.1 *0.3) − (AL021707.1 *0.08) − (AC026362.1 *0.35) − (GATA2-AS1 *0.01) − (AC012065.2 *0.013) − (HCP5 *0.002) (Fig. 2i–k).  Next, we assessed the prognostic "
PMC12643724,unreviewed_no_flag,none,,"K折交叉验证AUC结果,非基因数据"
PMC12917064,unreviewed_no_flag,none,,"caption明确是敏感药物列表(高低风险组),非基因数据,未转换docx"
PMC13234113,unreviewed_no_flag,none,,"GSEA通路富集结果(Hallmark基因集名称),非逐基因数据"
PMC13481506,unreviewed_no_flag,none,,"本课题最早期试点(阶段1第一次pilot)看过的论文,6602行全基因组DEG表,非最终模型,再次确认"
PMC8933961,hit,second_coder_manual,13,单因素Cox后LASSO保留13个lncRNA，有公式验证
PMC11261139,unreviewed_no_flag,none,,"CRC生存相关基因(仅p值),候选筛选阶段"
PMC12587622,hit,second_coder_manual,8,CRG_score = −0.97×NICN1 −0.75×TCF12 −0.67×MAPKAPK3 +0.38×JAG2 −0.49×LXNB1 −0.26×NKIRAS1 +0.67×P4HA1 −0.48×SAP30，无表格仅有公式
PMC12748409,likely_hit(regex),regex_scan,,Risk score = (0.0271 ×expression value of MVK) + (-0.0459 × expression value of ITSN2) + (-0.0749 × expression value of CBX7) + (0.2481 ×expression value of NOTCH3) + (0.1034 × expression value of FOXM1)+ (-0.0861 × expression value of ABI3)+ (0.0823
PMC12894601,hit,second_coder_manual,4,Risk score=0.0404×S100A9+0.0138×SPP1−0.0598×PON1+0.0320×AKR1B10，有具体数据
PMC13443017,unreviewed_no_flag,none,,"临床试验生存事件/RECIST响应统计表,非基因数据"
PMC7523182,unreviewed_no_flag,none,,"GSEA/MSigDB通路基因集,非逐基因模型"
PMC8643173,unreviewed_no_flag,none,,"Nomogram模型C-index比较表,非基因数据"
PMC9536954,uncertain,second_coder_manual,5/6？,"six lncRNAs, namely AC015813.1, EMX2OS, LINC00173, LINC01355, PWAR5, and SNHG1 (Figure 3(c)). Risk score = AC015813.1∗(0.0086) + EMX2OS∗(−0.0101)  + LINC00173∗(0.0309) + PWAR5∗(−0.0146) + SNHG1∗(0.0043). 原文有6个lncrna但是公式中只有5个，缺少了linc01355？？？"
PMC9372236,likely_hit(regex),regex_scan,,risk score = (LDHA × 0.09667454) + (DKK1 × 0.06514894) + (MELTF × 0.02890339) + (VDAC1 × 0.02789367) + (FUT4 × 0.02732278) + (PLK1 × 0.01364355) + (KRT6A × 0.01078567) + (GALNT2 × 0.00537792). Risk scores for each patient in the training set were cal
PMC9203891,likely_hit(regex),regex_scan,,"Risk score= (-2.4140 × expression level of AXL) + (-1.1539 × expression level of SLC7A11) + (3.5932 × expression level of UBQLN1)  Pearson analysis further confirm strong correlations (all >0.7) between AXL and T cells, SLC7A11 and NK cells, UBQLN1 a"
PMC6932884,likely_hit(regex),regex_scan,,Risk score = (0.1142 × expression level of DPYSL4) + (0.1982 × expression level of HOMER1) + (0.2647 × expression level of ABCB6) + (0.4603 × expression level of CENPA) + (-0.5359 × expression level of CDK1) + (0.3966 × expression level of STMN1). Us
PMC7821871,likely_hit(regex),regex_scan,,Risk score = 0.00710 × expression of PGK1 + 0.00187 × expression of SDC1 + 0.05107 × expression of NUP43 + 0.05599 × expression of NT5E + 0.00587 × expression of IL13RA1 + 0.05692 × expression of GCLC + 0.01385 × expression of CACNA1H + (-0.00535) × 
PMC9092714,unreviewed_no_flag,none,,clinical characteristics table (Gleason score etc.)
PMC10043308,hit,second_coder_manual,10,2.2和3.1明确说了15个单因素Cox筛选出来的基因属于中间结果，随后通过LASSO-Cox缩减成最终10基因 HFRS，有公式验证
PMC10313302,unreviewed_no_flag,none,,"GSEA pathway enrichment results, not gene-level"
PMC11427372,hit,second_coder_manual,6,LASSO及多因素Cox建立最终6-lncRNA，表格1，有公式验证
PMC9072639,unreviewed_no_flag,none,,"GeneCards candidate gene pool list, not a Cox model"
PMC9201760,hit,second_coder_manual,4,最终得到WSB1、RXYLT1、GLCE、RORA四基因，有具体数据和公式验证
PMC9676246,likely_hit(regex),regex_scan,,risk score = (1.786502 × expression of AL391152.1) + (1.287388 × expression of AL590705.3) + (0.048445 × expression of RHOXF1-AS1) + (0.107710 × expression of CFAP61-AS1) + (−2.332926 × expression of LINC00412) + (0.237407 × expression of AC005165.1)
PMC9755770,unreviewed_no_flag,none,,"CpG-site-level MethSurv HR table, single-gene, not a multi-gene signature"
PMC9952986,unreviewed_no_flag,none,,"univariate screening candidate list (47 lncRNAs), not final LASSO-selected model"
PMC9658439,likely_hit(regex),regex_scan,,risk score = (−0.258850669×ENO2 exp) + (0.111022896×KDELR3 exp) + (0.121807561×PFKP exp) + (0.199403905×PGF exp) + (0.129762047×PPFIA4 exp) + (0.36354863×SAP30 exp) + (0.212227539×SLC2A1 exp) + (0.05656501×TKTL1 exp). According to the median value of
PMC9377110,miss,second_coder_manual,？,不是癌症模型
PMC10022822,likely_hit(regex),regex_scan,,"riskscore=0.0877×expPEA15+0.0275×expHSPB8+0.0053×expBNIP3+0.0053×expGABARAPL1  We calculated the 4-autophagy-related genes signature risk score for each patient in the training set and ranked them with their risk scores. Then, patients were divided i"
PMC11606104,hit,second_coder_manual,6,24个DRGs经单因素Cox筛得7个候选基因，有公式验证
PMC9939198,unreviewed_no_flag,none,,"lncRNA-pair (not per-gene) risk model; HR reported per pair not per gene, methodology mismatch with our per-gene coefficient template"
PMC9922719,likely_hit(regex),regex_scan,,"Risk score = 0.019344382* ACVR2B-AS1 + 0.000043085 * PRSS30P + 0.006481851* ATP2B1-AS1- 0.001247169 * RMRP  To explore the functional implication of signature, the expression correlation between mRNAs and each of the four lncRNAs in the signature was"
PMC9614142,unreviewed_no_flag,none,,"univariate Cox screening list (64 genes) + DEG table, not final model"
PMC9569205,unreviewed_no_flag,none,,"referenced supplementary docx not present in downloaded package; candidate gene pool (200 genes) and non-included-gene KM curves per XML captions, not final model; no table-wrap with numeric coefficients in article body"
PMC9420946,unreviewed_no_flag,none,,"GSEA enrichment results, not gene-level"
PMC9353335,unreviewed_no_flag,none,,"pathway gene-set list + univariate Cox screening table, not final model"
PMC9247151,likely_hit(regex),regex_scan,,"Risk score = (0.2665 * expression of S1PR3) + (0.2478* expression of ETV5) + (0.2115* expression of CD36) + (0.2808* expression of FOXC1) + (−0.1735* expression of CXCL10) + (−0.0976* expression of MMP12). According to the median risk score, patients"
PMC8818738,unreviewed_no_flag,none,,"sample ID lists (discovery/validation cohort), not a coefficient table"
PMC8225435,unreviewed_no_flag,none,,referenced supplementary .doc file not found in downloaded package
PMC12431762,unreviewed_no_flag,none,,"model performance metrics table (SEN/SPE/ACC/AUC), not gene coefficients"
PMC11336873,likely_hit(regex),regex_scan,,Risk score=AC012073.1×0.429050427772901+AL606834.1×0.221970123392862+EMSLR×0.318944373203222+AL365181.2×0.10463325898888+AC012615.1×-0.369923573449006+SNHG12×-0.310796599079851  Fig. 1 DRL identification and construction of a prognostic signature. (A
PMC11331578,unreviewed_no_flag,none,,GO enrichment results
PMC11164498,unreviewed_no_flag,none,,"per-gene survival p-value/AUC table, no Cox coefficients reported"
PMC9853159,hit,second_coder_manual,12,LASSO-Cox最终建立12基因骨肉瘤缺氧相关模型，有公式验证
PMC9453157,likely_hit(regex),regex_scan,,risk score = (−0.0056 × REPIN1-AS1) + (−0.0779 × AL355574.1) + (0.1341 × AC104695.3) + (−0.5803 × AL033527.2) + (0.7814 × AC083902.1) + (−0.1343 × TYMSOS) + (0.0129 × LINC00460) + (0.0104 × AC005165.1) + (−0.6483 × AL136115.1) + (−0.2790 × AC007405.2
PMC9160815,hit,second_coder_manual,5,risk score = 0.0604×CA9 −0.0714×ANXA10 +0.1501×CDC20 −0.0853×CYP7A1 +0.0530×SPP1
PMC12341353,unreviewed_no_flag,none,,"clinical characteristics and risk-score-by-treatment-group table, not a coefficient table"
PMC12109475,likely_hit(regex),regex_scan,,"Risk Score=0.660×AC107021.2_exp−0.436×AC016394.2_exp+0.637×AC129507.1_exp. In this formula, AC107021.2_exp, AC016394.2_exp, and AC129507.1_exp represent the expression levels of lncRNAs AC107021.2, AC016394.2, and AC129507.1, respectively.  A total o"
PMC11557307,likely_hit(regex),regex_scan,,"Risk Score = SOD3 × 0.1779 + SPAG4 × 0.2525 + FREM3 × -0.1837 + SPP1 × 0.1810. A ranked dot plot visualizes the distribution of risk scores, while a scatter plot depicts the survival status of patients in the training set. (G) Kaplan-Meier curves for"
PMC11294474,unreviewed_no_flag,none,,"differential expression table, not Cox coefficients"
PMC11168106,unreviewed_no_flag,none,,"large differential expression table among subtypes (18761 genes), not Cox coefficients"
PMC9999016,unreviewed_no_flag,none,,GSEA pathway enrichment results
PMC9866886,likely_hit(regex),regex_scan,,"Risk score = (0.062 × expression level of SRPX) + (0.016 × expression level of IL6) + (0.006 × expression level of HOXB9) + (0.155 × expression level of NR3C1) (Table S2). Based on the calculated risk scores, samples were divided into high- or low-ri"
PMC9798206,likely_hit(regex),regex_scan,,Table 2 Ten ARlncRNAs included in the ARlncRNA model and their regression coefficient
PMC9778227,likely_hit(regex),regex_scan,,Risk Score = (0.070 × CASP1 exp.) + (0.276 × CHMP6 exp.) + (−0.032 × ELANE exp.) + (0.104 × GSDME exp.) + (0.164 × AIM2 exp.) + (0.035 × GSDMB exp.) + (0.110 × NLRP2 exp.) + (0.213 × PJVK exp.) + (−0.032 × TNF exp.) + (0.023 × GZMA exp.). All the 322
PMC9761315,hit,second_coder_manual,6,LASSO-Cox最终建立6基因线粒体相关HCC模型，有公式验证
PMC9748486,likely_hit(regex),regex_scan,,"Risk  score=0.12095 * expZ99289.2 + 0.20536 * expMNX1-AS + ( −0.21082831 * expFENDRR) + 0.10058 * expCCDC144NL-AS1 + 0.04314 * LINC02798 + 0.053611 * expTEX41 + 0.08983 * expLINC02381  According to the median risk scores, patients in the training coh"
PMC9617384,likely_hit(regex),regex_scan,,Risk score = (0.19418143 × GLP2R)—(0.03421663 × C7) – (0.04084137 × IL1RL1) + (0.03137575 × CXCL6) + (0.11103071 × CHST4)—(0.14224683 × CLEC1B)—(0.11412072 × GPR182)—(0.14543623 × INMT). The aforementioned algorithm was used to construct risk scores 
PMC9485671,hit,second_coder_manual,3,risk score = 1.6474×AC026412.3 + 0.6620×AL451069.3 + 1.0340×AL031985.3
PMC9479339,likely_hit(regex),regex_scan,,"risk score= (0.0674 × NKILA) + (−0.1483 × AC020765.2) + (−0.1896 × MMP2-AS1) + (−0.0692 × AL691432.2) + (0.0555 × LINC00941) + (0.3039 × ABALON) + (0.0049 × AL161431.1) (p < 0.05; Table 2). Subsequently, we figured out the risk score for NSCLC patien"
PMC9250441,unreviewed_no_flag,none,,clinical characteristics vs risk score table
PMC9198763,hit,second_coder_manual,14,给出通用公式，表格2给出具体数据
PMC9174756,hit,second_coder_manual,5,经LASSO及多因素Cox建立最终5基因，有具体数据和公式验证
PMC8795518,likely_hit(regex),regex_scan,,"Risk score = 0.1019 * FBN1 − 0.2529 * HIC1 − 0.0076 * SFRP4 + 0.0544 * COL11A1 + 0.1850 * ONECUT2 + 0.0057 * HOXB9 + 0.1853 * DLX4 − 0.0009 * MSX1 + 0.0265 * TNF + 0.0392 * SIX1 in the training set. In the training set, the median risk score of the t"
PMC8573348,likely_hit(regex),regex_scan,,riskscore=(0.1738×EXP)NDUFS2+(-0.4258×EXP)ATP8⁢A2+(0.4404×EXP)SCO1+(-0.7904×EXP)COX14+(0.6436×EXP)COA6+(-0.0686×EXP)RRM2⁢B+(0.1818×EXP)TFAM+(0.2117×EXP)DARS2+(0.0779×EXP)GARS+(0.4276×EXP)YARS2+(0.3687×EXP)EFG1+(0.0001×EXP)GFM1+(-0.8567×EXP)MRPL3+(0.1
PMC8261051,unreviewed_no_flag,none,,"univariate Cox screening list, not final model"
