PMCID,model_id,标题,癌种(归因参考图谱),参考数据集,基因数,K_细胞类型数,众数细胞类型,众数细胞类型大类,二项检验p值,FDR校正q值,FDR<0.05显著,基因数<6检验功效不足,候选池同义重复,来源批次
PMC10663558,PMC10663558,EMT-related gene risk model establishment for prognosis and drug treatment efficiency prediction in hepatocellular carcinoma,肝细胞癌,GSE151530,4,6,CAFs,Stromal_Vascular,0.1319444444444444,0.208294,False,True,False,miss_pool_recovery_173
PMC10666655,PMC10666655,An Exosome-Related Long Non-coding RNA (lncRNA)-Based Signature for Prognosis and Therapeutic Interventions in Lung Adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,1,3,CD4Tconv,Immune_Hematopoietic,0.3333333333333333,0.358876,False,True,False,miss_pool_recovery_173
PMC10683585,PMC10683585,The development and experimental validation of hypoxia-related long noncoding RNAs prognostic signature in predicting prognosis and immunotherapy of cutaneous melanoma,黑色素瘤,SKCM_GSE120575,4,10,Treg,Immune_Hematopoietic,0.3439,0.368839,False,True,False,miss_pool_recovery_173
PMC10709318,PMC10709318,A breast cancer classification and immune landscape analysis based on cancer stem-cell-related risk panel,乳腺癌,GSE176078,10,9,Endothelial,Stromal_Vascular,0.0905965326991262,0.180551,False,False,False,miss_pool_recovery_173
PMC10721979,PMC10721979,A risk signature based on endoplasmic reticulum stress-associated genes predicts prognosis and immunity in pancreatic cancer,胰腺癌,PAAD_GSE154778,11,6,Plasma,Immune_Hematopoietic,0.2732248769956943,0.325323,False,False,False,miss_pool_recovery_173
PMC10829884,PMC10829884,Experimental prognostic model integrating N6-methyladenosine-related programmed cell death genes in colorectal cancer,结直肠癌,GSE81861,9,7,Epithelial,Epithelial_mixed,0.0288094940311035,0.095241,False,False,False,miss_pool_recovery_173
PMC10851502,PMC10851502,Identification of a DNA damage repair-related LncRNA signature for predicting the prognosis and immunotherapy response of hepatocellular carcinoma,肝细胞癌,GSE151530,1,6,Malignant cells,Malignant,0.1666666666666666,0.240171,False,True,False,miss_pool_recovery_173
PMC10861726,PMC10861726,An angiogenesis-associated gene-based signature predicting prognosis and immunotherapy efficacy of head and neck squamous cell carcinoma patients,头颈鳞癌,HNSC_GSE139324,4,11,Mono/Macro,Immune_Hematopoietic,0.043781162488901,0.111841,False,True,False,miss_pool_recovery_173
PMC10873882,PMC10873882,PANoptosis-related long non-coding RNA signature to predict the prognosis and immune landscapes of pancreatic adenocarcinoma,胰腺癌,PAAD_GSE154778,4,6,Epithelial,Epithelial_mixed,0.1319444444444444,0.208294,False,True,False,miss_pool_recovery_173
PMC10909728,PMC10909728,Classification of molecular subtypes for colorectal cancer and development of a prognostic model based on necroptosis-related genes,结直肠癌,GSE81861,8,7,Macrophage,Immune_Hematopoietic,0.3201666458217726,0.352811,False,False,False,miss_pool_recovery_173
PMC10911888,PMC10911888,Lipid Metabolism-Related Gene Signature Predicts Prognosis and Indicates Immune Microenvironment Infiltration in Advanced Gastric Cancer,胃癌,GSE167297,5,9,Fibroblasts,Stromal_Vascular,0.0982404443767041,0.187793,False,True,False,miss_pool_recovery_173
PMC10933109,PMC10933109,"A hypoxia-related genes prognostic risk model, and mechanisms of hypoxia contributing to poor prognosis through immune microenvironment and drug resistance in acute myeloid leukemia",急性髓系白血病,AML_GSE116256,2,13,Tprolif,Immune_Hematopoietic,0.1479289940828402,0.224692,False,True,False,miss_pool_recovery_173
PMC10981052,PMC10981052,Identification of cellular senescence-associated genes as new biomarkers for predicting the prognosis and immunotherapy response of non-small cell lung cancer and construction of a prognostic model,非小细胞肺癌,NSCLC_GSE131907,12,3,CD8T,Immune_Hematopoietic,0.3684792855650957,0.392207,False,False,False,miss_pool_recovery_173
PMC10985269,PMC10985269,Constructing lactylation-related genes prognostic model to effectively predict the disease-free survival and treatment responsiveness in prostate cancer based on machine learning,前列腺癌,PRAD_GSE172301,4,9,Epithelial,Epithelial_mixed,0.3757049230300259,0.393929,False,True,False,miss_pool_recovery_173
PMC10986118,PMC10986118,Construction and validation of a hypoxia-related gene signature to predict the prognosis of breast cancer,乳腺癌,GSE176078,9,9,Cancer Epithelial,Malignant,0.0001171466179219,0.002195,True,False,False,miss_pool_recovery_173
PMC11025768,PMC11025768,Integration of single-cell RNA-seq and bulk RNA-seq to construct liver hepatocellular carcinoma stem cell signatures to explore their impact on patient prognosis and treatment,肝细胞癌,GSE151530,4,6,Malignant cells,Malignant,0.1319444444444444,0.208294,False,True,False,miss_pool_recovery_173
PMC11031923,PMC11031923,Endoplasmic reticulum stress-related genes as prognostic and immunogenic biomarkers in prostate cancer,前列腺癌,PRAD_GSE172301,2,9,Epithelial,Epithelial_mixed,0.0123456790123456,0.058799,False,True,False,miss_pool_recovery_173
PMC11057184,PMC11057184,Predictive significance of glycolysis-associated lncRNA profiles in colorectal cancer progression,结直肠癌,GSE81861,2,7,Epithelial,Epithelial_mixed,0.2653061224489796,0.318594,False,True,False,miss_pool_recovery_173
PMC11102376,PMC11102376,An exosomes-related lncRNA prognostic model correlates with the immune microenvironment and therapy response in lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,13,3,CD8T,Immune_Hematopoietic,0.0016477213212128,0.014031,True,False,False,miss_pool_recovery_173
PMC11134425,PMC11134425,Identification and validation of a novel apoptosis-related prognostic risk score model for lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,9,3,CD8T,Immune_Hematopoietic,0.0424223949601178,0.110773,False,False,False,miss_pool_recovery_173
PMC11137026,PMC11137026,Characterization of an endoplasmic reticulum stress-associated lncRNA prognostic signature and the tumor-suppressive role of RP11-295G20.2 knockdown in lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,6,3,B,Immune_Hematopoietic,0.3196159122085047,0.352811,False,False,False,miss_pool_recovery_173
PMC11153201,PMC11153201,A telomere-related gene risk model for predicting prognosis and treatment response in acute myeloid leukemia,急性髓系白血病,AML_GSE116256,8,13,EryPro,Immune_Hematopoietic,0.0189854428689587,0.073081,False,False,False,miss_pool_recovery_173
PMC11164498,PMC11164498,A cuproptosis-based prognostic model for predicting survival in low-grade glioma,胶质瘤,Glioma_GSE131928,4,8,AC-like Malignant,Malignant,0.078857421875,0.160572,False,True,False,miss_pool_recovery_173
PMC11197043,PMC11197043,Identification of novel disulfidptosis‐related lncRNA signatures to predict the prognosis and immune microenvironment of skin cutaneous melanoma patients,黑色素瘤,SKCM_GSE120575,21,10,Mono/Macro,Immune_Hematopoietic,0.0032727938845204,0.02237,True,False,False,miss_pool_recovery_173
PMC11261139,PMC11261139,Development of a novel prognostic signature for colorectal cancer based on angiogenesis-related genes,结直肠癌,GSE81861,2,7,Endothelial,Stromal_Vascular,0.2653061224489796,0.318594,False,True,False,miss_pool_recovery_173
PMC11302292,PMC11302292,Development of prognostic model incorporating a ferroptosis/cuproptosis-related signature and mutational landscape analysis in muscle-invasive bladder cancer,膀胱癌,BLCA_GSE130001,3,4,Epithelial,Epithelial_mixed,0.578125,0.578125,False,True,False,miss_pool_recovery_173
PMC11315143,PMC11315143,Integrative analyses of genes associated with oxidative stress and cellular senescence in triple-negative breast cancer,乳腺癌,GSE176078,15,9,Endothelial,Stromal_Vascular,0.0764692476356837,0.160572,False,False,False,miss_pool_recovery_173
PMC11319968,PMC11319968,Identification of a novel cellular senescence-related lncRNA signature for prognosis and immune response in osteosarcoma,骨肉瘤,OS_GSE162454,4,8,Malignant,Malignant,0.078857421875,0.160572,False,True,False,miss_pool_recovery_173
PMC11331578,PMC11331578,A Pyroptosis-Related Gene Signature Predicts Prognosis and Tumor Immune Microenvironment in Colorectal Cancer,结直肠癌,GSE81861,9,7,Epithelial,Epithelial_mixed,0.1259285446279932,0.208294,False,False,False,miss_pool_recovery_173
PMC11336873,PMC11336873,Construction of lncRNA prognostic model related to disulfidptosis in lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,2,3,B,Immune_Hematopoietic,0.5555555555555556,0.55754,False,True,False,miss_pool_recovery_173
PMC11349728,PMC11349728,A novel model based on lipid metabolism-related genes associated with immune microenvironment predicts metastasis of breast cancer,乳腺癌,GSE176078,6,9,Normal Epithelial,Epithelial_mixed,0.1367771775229987,0.210024,False,False,False,miss_pool_recovery_173
PMC11417173,PMC11417173,A necroptosis-regulated model from single-cell analysis that predicts survival and identifies the Pivotal role of MAGEA6 in hepatocellular carcinoma,肝细胞癌,GSE151530,6,6,Malignant cells,Malignant,0.008701989026063,0.047182,True,False,False,miss_pool_recovery_173
PMC11427372,PMC11427372,Comprehensive identification of a disulfidptosis-associated long non-coding RNA signature to predict the prognosis and treatment options in ovarian cancer,卵巢癌,OV_GSE154600,2,11,Fibroblasts,Stromal_Vascular,0.1735537190082644,0.246306,False,True,False,miss_pool_recovery_173
PMC11458410,PMC11458410,Mitochondrial-related genes as prognostic and metastatic markers in breast cancer: insights from comprehensive analysis and clinical models,乳腺癌,GSE176078,9,9,Cancer Epithelial,Malignant,0.0014492806032259,0.013137,True,False,False,miss_pool_recovery_173
PMC11496652,PMC11496652,C6 and KLRG2 are pyroptosis subtype-related prognostic biomarkers and correlated with tumor-infiltrating lymphocytes in lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,20,3,CD8T,Immune_Hematopoietic,0.1905488715647148,0.266389,False,False,False,miss_pool_recovery_173
PMC11521951,PMC11521951,"Explore the expression of mitochondria-related genes to construct prognostic risk model for ovarian cancer and validate it, so as to provide optimized treatment for ovarian cancer",卵巢癌,OV_GSE154600,11,11,Malignant,Malignant,0.0133596729598801,0.062568,False,False,False,miss_pool_recovery_173
PMC11537572,PMC11537572,"Construction of a prognostic model based on cuproptosis-related patterns for predicting survival, immune infiltration, and immunotherapy efficacy in breast cancer: Cuproptosis-based prognostic modeling in breast cancer",乳腺癌,GSE176078,21,9,Endothelial,Stromal_Vascular,3.94112453778807e-07,6.7e-05,True,False,False,miss_pool_recovery_173
PMC11557307,PMC11557307,Integrated multi-level omics profiling of disulfidptosis identifis SPAG4 as an innovative immunotherapeutic target in glioblastoma,胶质瘤,Glioma_GSE131928,3,8,AC-like Malignant,Malignant,0.330078125,0.356874,False,True,False,miss_pool_recovery_173
PMC11586327,PMC11586327,Predicting survival in bladder cancer with a novel apoptotic gene-related prognostic model,膀胱癌,BLCA_GSE130001,6,4,Endothelial,Stromal_Vascular,0.466064453125,0.472795,False,False,False,miss_pool_recovery_173
PMC11606104,PMC11606104,Analysis and experimental validation of disulfidptosis related genes solute carrier family 3 member 2 (SLC3A2) in endometrial cancer,子宫内膜癌,UCEC_GSE139555,6,6,Fibroblasts,Stromal_Vascular,2.1433470507544573e-05,0.000559,True,False,False,miss_pool_recovery_173
PMC11625674,PMC11625674,A novel necroptosis-related genes signature to predict prognosis and treatment response in bladder cancer,膀胱癌,BLCA_GSE130001,6,4,Fibroblasts,Stromal_Vascular,0.03759765625,0.102572,False,False,False,miss_pool_recovery_173
PMC11657287,PMC11657287,Cross-talk between cuproptosis and ferroptosis to identify immune landscape in cervical cancer for mRNA vaccines development,宫颈癌,CESC_GSE168652,4,7,Mono/Macro,Immune_Hematopoietic,0.100374843815077,0.189298,False,True,False,miss_pool_recovery_173
PMC11666862,PMC11666862,Cellular Senescence-Related Long Non-coding RNA Signatures Predict Prognosis in Juvenile Osteosarcoma,骨肉瘤,OS_GSE162454,5,8,Fibroblasts,Stromal_Vascular,0.01605224609375,0.067959,False,True,False,miss_pool_recovery_173
PMC11700244,PMC11700244,Construction and evaluation of a prognostic model of autophagy-related genes in hepatocellular carcinoma,肝细胞癌,GSE151530,4,6,Malignant cells,Malignant,0.1319444444444444,0.208294,False,True,False,miss_pool_recovery_173
PMC11717914,PMC11717914,A novel mitochondrial-related risk model for predicting prognosis and immune checkpoint blockade therapy response in uterine corpus endometrial carcinoma,子宫内膜癌,UCEC_GSE139555,5,6,Fibroblasts,Stromal_Vascular,0.0354938271604938,0.09875,False,True,False,miss_pool_recovery_173
PMC11751285,PMC11751285,Autophagy-related long non-coding RNA MIR210HG plays a therapeutic role in hepatocellular carcinoma,肝细胞癌,GSE151530,4,6,Malignant cells,Malignant,0.0007716049382716,0.008273,True,True,False,miss_pool_recovery_173
PMC11781745,PMC11781745,Identification of cuproptosis and ferroptosis-related subtypes and development of a prognostic signature in colon cancer,结直肠癌,GSE81861,7,7,Epithelial,Epithelial_mixed,0.0652291380049372,0.149019,False,False,False,miss_pool_recovery_173
PMC11807950,PMC11807950,Identification of mitophagy-related genes impacting patient survival in glioma,胶质瘤,Glioma_GSE131928,9,8,NPC-like Malignant,Malignant,0.0182602405548095,0.072908,False,False,False,miss_pool_recovery_173
PMC11813837,PMC11813837,Identification of inflammation-related genes signature to establish a prognostic model in MGMT unmethylated glioblastoma patients,胶质瘤,Glioma_GSE131928,7,8,MES-like Malignant,Malignant,0.0463099479675293,0.116188,False,False,False,miss_pool_recovery_173
PMC11864952,PMC11864952,Creation of an innovative diagnostic framework for hepatocellular carcinoma employing bioinformatics techniques focused on senescence-related and pyroptosis-related genes,肝细胞癌,GSE151530,5,6,Malignant cells,Malignant,0.1962448559670782,0.270318,False,True,False,miss_pool_recovery_173
PMC11868076,PMC11868076,Identification of potential diagnostic targets and therapeutic strategies for anoikis-related biomarkers in lung squamous cell carcinoma using machine learning and computational virtual screening,非小细胞肺癌,NSCLC_GSE131907,8,3,CD8T,Immune_Hematopoietic,0.0025910684346898,0.01916,True,False,False,miss_pool_recovery_173
PMC11880812,PMC11880812,A novel glycolysis-related gene signature for predicting prognosis and immunotherapy efficacy in breast cancer,乳腺癌,GSE176078,10,9,Cancer Epithelial,Malignant,0.018421654341914,0.072908,False,False,False,miss_pool_recovery_173
PMC11926318,PMC11926318,An innovative glutamine metabolism-related gene signature for predicting prognosis and immune landscape in cervical cancer,宫颈癌,CESC_GSE168652,3,7,Mono/Macro,Immune_Hematopoietic,0.0553935860058309,0.133039,False,True,False,miss_pool_recovery_173
PMC11979277,PMC11979277,Prognostic and immunotherapeutic potential of disulfidptosis-associated signature in pancreatic cancer,胰腺癌,PAAD_GSE154778,8,6,Malignant,Malignant,0.1348468935756744,0.210024,False,False,False,miss_pool_recovery_173
PMC11999454,PMC11999454,Construction of a prognostic model for autophagy-related LncRNAs in lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,6,3,B,Immune_Hematopoietic,0.3196159122085047,0.352811,False,False,False,miss_pool_recovery_173
PMC12047218,PMC12047218,"A prognostic glycolysis-related gene signature in osteosarcoma: implications for metabolic programming, immune microenvironment, and drug response",骨肉瘤,OS_GSE162454,4,8,Malignant,Malignant,0.078857421875,0.160572,False,True,False,miss_pool_recovery_173
PMC12082951,PMC12082951,Novel exosome-associated LncRNA model predicts colorectal cancer prognosis and drug response,结直肠癌,GSE81861,1,7,Fibroblast,Stromal_Vascular,0.1428571428571428,0.218168,False,True,False,miss_pool_recovery_173
PMC12109955,PMC12109955,PAICS-Driven Purine Biosynthesis and Its Prognostic Implications in Lung Adenocarcinoma: A Novel Risk Stratification Model and Therapeutic Insights,非小细胞肺癌,NSCLC_GSE131907,5,3,B,Immune_Hematopoietic,0.2098765432098765,0.282179,False,True,False,miss_pool_recovery_173
PMC12210501,PMC12210501,Prognostic model of lung adenocarcinoma based on disulfidptosis-related genes and analysis of in vitro cell experiments for PPP1R14B in the model,非小细胞肺癌,NSCLC_GSE131907,4,3,CD8T,Immune_Hematopoietic,0.4074074074074074,0.424005,False,True,False,miss_pool_recovery_173
PMC12215040,PMC12215040,Identification of Autophagy-Related Prognostic Signature for Glioblastoma Standard Therapy,胶质瘤,Glioma_GSE131928,4,8,MES-like Malignant,Malignant,0.078857421875,0.160572,False,True,False,miss_pool_recovery_173
PMC12218319,PMC12218319,Oxidative stress gene expression in ulcerative colitis: implications for colon cancer biomarker discovery,结直肠癌,GSE81861,59,7,Epithelial,Epithelial_mixed,1.0358262431814931e-05,0.000364,True,False,False,miss_pool_recovery_173
PMC12246268,PMC12246268,Cellular senescence and disulfide death-related genes as biological markers of breast cancer prognosis,乳腺癌,GSE176078,17,9,Cancer Epithelial,Malignant,2.6528810983623504e-06,0.000172,True,False,False,miss_pool_recovery_173
PMC12254108,PMC12254108,Exploring the role of PANoptosis related genes in the prognosis of oral squamous cell carcinoma subtypes based on multi-omics analysis,口腔鳞癌,OSCC_GSE172577,8,11,Treg,Immune_Hematopoietic,0.0296646491637544,0.096928,False,False,False,miss_pool_recovery_173
PMC12273967,PMC12273967,"Mechanistic investigation of glycolysis and pyroptosis in colon adenocarcinoma tissues, and prognostic analysis of patient clinical outcomes",结直肠癌,GSE81861,7,7,Macrophage,Immune_Hematopoietic,0.2635138663069203,0.318594,False,False,False,miss_pool_recovery_173
PMC12311075,PMC12311075,Comprehensive analysis of cholesterol metabolism-related genes in prostate cancer: integrated analysis of single-cell and bulk RNA sequencing,前列腺癌,PRAD_GSE172301,18,9,Epithelial,Epithelial_mixed,0.0003618816748805,0.005352,True,False,False,miss_pool_recovery_173
PMC12318951,PMC12318951,The pyroptosis-related gene signature predicts prognosis and reveals immune microenvironment infiltration in reclassified glioblastoma based on 2021 WHO classification,胶质瘤,Glioma_GSE131928,2,8,Mono/Macro,Immune_Hematopoietic,0.234375,0.304905,False,True,False,miss_pool_recovery_173
PMC12353749,PMC12353749,Oxidative stress-related genes in uveal melanoma: the role of CALM1 in modulating oxidative stress and apoptosis and its prognostic significance,黑色素瘤,SKCM_GSE120575,3,10,DC,Immune_Hematopoietic,0.271,0.324047,False,True,False,miss_pool_recovery_173
PMC12382188,PMC12382188,Integrated single-cell and bulk transcriptomic profiling reveals cancer-associated fibroblast heterogeneity in glioblastoma and establishes a clinically actionable prognostic model and preliminary experimental validation,胶质瘤,Glioma_GSE131928,3,8,Mono/Macro,Immune_Hematopoietic,0.330078125,0.356874,False,True,False,miss_pool_recovery_173
PMC12391097,PMC12391097,Construction and immunohistochemical validation of a necroptosis-related prognostic signature in bladder cancer and its association with tumor immune infiltration,膀胱癌,BLCA_GSE130001,4,4,Endothelial,Stromal_Vascular,0.26171875,0.318594,False,True,False,miss_pool_recovery_173
PMC12399450,PMC12399450,Identification and validation of prognostic genes associated with mitochondrial nuclear genes in gastric cancer,胃癌,GSE167297,3,9,Endothelial,Stromal_Vascular,0.2976680384087791,0.345639,False,True,False,miss_pool_recovery_173
PMC12402859,PMC12402859,Machine learning-based model identifies a novel cuproptosis-related mitochondrial gene signature with a key role in the prognosis and treatment of lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,8,3,CD8T,Immune_Hematopoietic,0.2586495960981557,0.318594,False,False,False,miss_pool_recovery_173
PMC12408283,PMC12408283,Prognostic model construction and immune microenvironment analysis of pyroptosis-related genes in hepatocellular carcinoma based on single-cell RNA sequencing,肝细胞癌,GSE151530,8,6,TECs,Stromal_Vascular,0.1348468935756744,0.210024,False,False,False,miss_pool_recovery_173
PMC12431762,PMC12431762,Construction of a prognostic risk model based on pyroptosis-related genes and comprehensive analysis of key genes and tumor immune microenvironment for colon cancer,结直肠癌,GSE81861,10,7,Endothelial,Stromal_Vascular,0.0426836441163735,0.110773,False,False,False,miss_pool_recovery_173
PMC12479282,PMC12479282,Identification of amino acid metabolism-related gene Leucyl-tRNA synthetase 1 (LARS1) as a potential prognostic and therapeutic target in hepatocellular carcinoma,肝细胞癌,GSE151530,13,6,Malignant cells,Malignant,0.0003450441450109,0.005352,True,False,False,miss_pool_recovery_173
PMC12585065,PMC12585065,Construction and validation of an anoikis-related prognostic model for lung adenocarcinoma based on bulk and single-cell transcriptomic data,非小细胞肺癌,NSCLC_GSE131907,7,3,CD8T,Immune_Hematopoietic,0.0068587105624142,0.039333,True,False,False,miss_pool_recovery_173
PMC12585956,PMC12585956,Development of a ferroptosis-related signature and identification of NOTCH2 as a novel prognostic biomarker in pancreatic cancer,胰腺癌,PAAD_GSE154778,2,6,Fibroblasts,Stromal_Vascular,0.3055555555555555,0.346214,False,True,False,miss_pool_recovery_173
PMC12587622,PMC12587622,Prognostic evaluation and experimental validation of cuproptosis-related hub genes identified through weighted gene co-expression network analysis in uveal melanoma,黑色素瘤,SKCM_GSE120575,7,10,Mono/Macro,Immune_Hematopoietic,0.0256915,0.08967,False,False,False,miss_pool_recovery_173
PMC12589231,PMC12589231,Exploring the prognostic value of T cell exhaustion and mitochondrial dysfunction related genes in breast cancer through bioinformatics analysis and RT-qPCR validation,乳腺癌,GSE176078,7,9,Myeloid,Immune_Hematopoietic,0.0340125557995462,0.09875,False,False,False,miss_pool_recovery_173
PMC12627312,PMC12627312,Utilizing a novel mitochondrial-related gene signature for predicting the prognosis and immunological impact in bladder cancer,膀胱癌,BLCA_GSE130001,2,4,Myofibroblasts,Stromal_Vascular,0.4375,0.448677,False,True,False,miss_pool_recovery_173
PMC12637038,PMC12637038,Identification of mitochondrial-related genes to evaluate the immune infiltration and prognosis of lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,3,3,CD4Tconv,Immune_Hematopoietic,0.2592592592592592,0.318594,False,True,False,miss_pool_recovery_173
PMC12643724,PMC12643724,A novel ferroptosis-related microRNAs signature for predicting prognosis in endometrial cancer: An observational study,子宫内膜癌,UCEC_GSE139555,4,6,Treg,Immune_Hematopoietic,0.1319444444444444,0.208294,False,True,False,miss_pool_recovery_173
PMC12666366,PMC12666366,Integrated bioinformatics analysis identifies cuproptosis and ferroptosis gene signatures via subgroup clustering: Prognostic and therapeutic implications in breast cancer,乳腺癌,GSE176078,13,9,Cancer Epithelial,Malignant,0.0016105509879296,0.014031,True,False,False,miss_pool_recovery_173
PMC12668565,PMC12668565,A Super‐Enhancer‐Related Ferroptosis Signature Predicts Survival and Immune Microenvironment in Colon Cancer Based on Bioinformatics Analyses and Experimental Validation,结直肠癌,GSE81861,8,7,Epithelial,Epithelial_mixed,0.3201666458217726,0.352811,False,False,False,miss_pool_recovery_173
PMC12672885,PMC12672885,Development of a prognostic model based on immunogenic cell death/ferroptosis-related genes and the study of TREX1 effects on prostate cancer cells,前列腺癌,PRAD_GSE172301,2,9,Fibroblasts,Stromal_Vascular,0.2098765432098765,0.282179,False,True,False,miss_pool_recovery_173
PMC12730545,PMC12730545,An Immune Gene Signature Stratifies Breast Cancer Prognosis Through iCAF-Driven Immunosuppressive Microenvironment,乳腺癌,GSE176078,13,9,Myeloid,Immune_Hematopoietic,0.1686721281346509,0.241821,False,False,False,miss_pool_recovery_173
PMC12731238,PMC12731238,Integrative Single-Cell and Machine Learning Analysis Develops a Glutamine Metabolism–Based Prognostic Model and Identifies MSMO1 as a Therapeutic Target in Osteosarcoma,骨肉瘤,OS_GSE162454,7,8,Malignant,Malignant,4.76837158203125e-07,6.7e-05,True,False,False,miss_pool_recovery_173
PMC12748409,PMC12748409,Cellular senescence related gene signature predicts prognosis and immune features in skin cutaneous melanoma,黑色素瘤,SKCM_GSE120575,12,10,B,Immune_Hematopoietic,0.110869977745,0.193927,False,False,False,miss_pool_recovery_173
PMC12768259,PMC12768259,Identification of ACE and HSPB8 as novel drug targets for LUSC treatment and prognosis based on a prognostic model integrating epigenetic regulation and endoplasmic reticulum stress-related genes,非小细胞肺癌,NSCLC_GSE131907,4,3,CD8T,Immune_Hematopoietic,0.1111111111111111,0.193927,False,True,False,miss_pool_recovery_173
PMC12864644,PMC12864644,Identification and validation of prognostic markers for cuproptosis-related macrophage polarization genes in hepatocellular carcinoma,肝细胞癌,GSE151530,6,6,Malignant cells,Malignant,0.2632244513031549,0.318594,False,False,False,miss_pool_recovery_173
PMC12894601,PMC12894601,A prognostic signature of ferroptosis and lipid metabolism related genes predicts survival and immunotherapy response in hepatocellular carcinoma,肝细胞癌,GSE151530,4,6,TAMs,Immune_Hematopoietic,0.1319444444444444,0.208294,False,True,False,miss_pool_recovery_173
PMC12928886,PMC12928886,Prognostic model based on stem cells and oxidative stress related genes for ovarian cancer,卵巢癌,OV_GSE154600,4,11,Endothelial,Stromal_Vascular,0.3169865446349293,0.352811,False,True,False,miss_pool_recovery_173
PMC12998466,PMC12998466,An Inflammation-Associated Prognostic Model for Hepatocellular Carcinoma Following Radical Resection,肝细胞癌,GSE151530,1,6,Malignant cells,Malignant,0.1666666666666666,0.240171,False,True,False,miss_pool_recovery_173
PMC13009203,PMC13009203,Functional genomics integration of glycolysis-related gene networks reveals prognostic biomarkers and immune microenvironment regulation in breast cancer,乳腺癌,GSE176078,16,9,Endothelial,Stromal_Vascular,0.0258480583421331,0.08967,False,False,False,miss_pool_recovery_173
PMC13050664,PMC13050664,CLIC6 and ANLN: novel exosome-related prognostic markers and therapeutic targets in lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,4,3,CD8T,Immune_Hematopoietic,0.0123456790123456,0.058799,False,True,False,miss_pool_recovery_173
PMC13072332,PMC13072332,LPCAT1 and MRPL9 Promote Hepatocellular Carcinoma Progression via AKT Phosphorylation and Define a Mitochondrial Prognostic Model,肝细胞癌,GSE151530,2,6,TAMs,Immune_Hematopoietic,0.3055555555555555,0.346214,False,True,False,miss_pool_recovery_173
